" ""Year"""," ""Name"""," ""Movie"""
2000,"""Kevin Spacey""","""American Beauty"""
2001,"""Russell Crowe""","""Gladiator"""
2002,"""Denzel Washington""","""Training Day"""
2003,"""Adrien Brody""","""The Pianist"""
2004,"""Sean Penn""","""Mystic River"""
2005,"""Jamie Foxx""","""Ray"""
2006,"""Philip Seymour Hoffman""","""Capote"""
2007,"""Forest Whitaker""","""The Last King of Scotland"""
2008,"""Daniel Day-Lewis""","""There Will Be Blood"""
2009,"""Sean Penn""","""Milk"""
2010,"""Jeff Bridges""","""Crazy Heart"""
2011,"""Colin Firth""","""The King's Speech"""
2012,"""Jean Dujardin""","""The Artist"""
2013,"""Daniel Day-Lewis""","""Lincoln"""
2014,"""Matthew McConaughey""","""Dallas Buyers Club"""
2015,"""Eddie Redmayne""","""The Theory of Everything"""
2016,"""Leonardo DiCaprio""","""The Revenant"""
